model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,gemini,ovo,dataset,train,encoder,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-12-15_20-19-34_486662,100,adam,0.001,250,-1,0.0,0,10.0,1.0,hellinger,True,data/custom_datasets/mnist32.py,True,models/custom_models/encoder_lenet5.py,models/custom_models/clustering_head_linear.py,84,10,0.1256880015134811,0.301416665315628,0.3062166571617126,6,-0.5163196325302124
22-12-15_20-19-34_486662,100,adam,0.001,250,-1,0.0,0,10.0,1.0,hellinger,True,data/custom_datasets/mnist32.py,False,models/custom_models/encoder_lenet5.py,models/custom_models/clustering_head_linear.py,84,10,0.1377706527709961,0.31310001015663147,0.31310001015663147,6,-0.5125113725662231
